1000 750
-1230367168 -5315902870 -8617638729
5100334253 -8155730533 -3978065976
-1314978764 -6621776720 -7603287651
-2478430902 -9281406842 -8606784843
-8880371723 5942802468 -5989783941
1158885744 4223313252 2916248658
-4828355710 -1038286942 -851541299
-2050894136 -6033615631 -7506687557
-868943242 5228118025 694736092
8881682889 -6744871816 -93477253
-4423662787 -7857080189 -1629709398
-5697388587 142328167 1276939737
-5142920958 4139055192 8313308716
-4506173413 3350177195 -4701854260
6200908457 -4989555258 7759920941
8092308416 -9103268397 3279669160
794945716 -6828188862 3529641290
1759223827 -5742290987 5344703167
-9416555380 -5566391750 -4150349864
-1275706131 -9121575527 -3675559049
5204883290 -9987612411 -2008088176
2401021591 -8860167772 -6905315569
-1930403120 7225345265 -4863273007
5063331690 6374260029 7834398863
2511431473 948784621 7182909947
-1665448267 5175231682 3885036151
2033867856 -2227502194 -1465097192
-9373346056 -1344854601 871540713
-5743326296 -7997450543 -867644468
-6553276649 -4655500927 2143256299
7841587326 -4570967321 -4366217783
-2090736997 -7223445032 -876973012
5945757408 -4148997640 807033272
-491759707 1385164789 7800660830
6365178807 -7055295083 4668334488
-8414888532 1104027071 8465987330
-8249148821 -7865054539 -2682711678
477426748 2469267000 1799795046
5076197128 93250899 -5517941842
4005334029 6495934788 5906544708
-1693826027 6330303571 7499518844
2799615846 4067323625 -2929335240
-1595732489 3932816942 687953716
4127973803 332388772 -3564721301
7634336359 486502713 -7985855902
-2352087525 5737983157 -7920245905
-8169180901 9136908373 -444771739
-4785757372 8933787057 4912651441
6056374367 -740216475 1909186781
-2655745803 2110135529 5458620282
-9191681970 5668752163 -9928055747
-9938216997 -8951622629 -4563334641
-936799356 -996726592 1689055974
1688593952 2037546838 9689983300
2594396164 9651985282 -5835484584
1552907501 5405265480 -4194083882
-4711075591 -95598872 -3154664005
-4869963230 1403993869 -2444263945
-1696059556 8444541393 1315877959
-6879730705 3338361341 9896281935
977797275 -6366317836 6379008267
-6728525283 -2513986898 -5384014113
5023671262 -9699060488 -1236418800
-2841831491 1986659795 8646277169
8674367196 3721431068 -6151025194
-153419728 2122491999 -5199404649
-9948091918 5155680034 562723759
-3404916576 -5279361382 451493911
5835652242 -6626311836 3854903404
8531639177 9689795789 6096160768
8441096112 5225795341 92833346
3750562579 -3475202407 -8224479060
7379388620 -2808882304 3598439193
-3136579578 -6844372054 9137711355
-1330722930 -8145652449 5238538333
-6395346037 6457070138 -3379290202
-1217468573 -6349013696 -5776791963
3428653920 -976201455 -797136889
-1022208323 1075279658 8321514035
7346860589 -7104605976 -8758174553
1983313303 -2215376889 -292850777
-5761009741 1013278835 8613773410
-9858381732 -4840360816 -9422718709
9967911515 179298797 -1945413481
-271078294 -5628593965 -8896354541
1653482534 -6154360728 2296968397
-3845979336 -7600365517 -1578623343
8101105280 7438746368 7727843802
8498278917 -9508643716 6410981959
-1560396487 -7887821277 -6419986735
2864103126 -8176800991 2889801764
2343508995 7788593657 4373135084
1019856485 6768194293 351706231
-129381299 5753561964 -165572058
9843911302 5638053191 -4398842190
6661584011 2519547637 1551895942
-860426719 -2285592962 1340343282
-3310462022 8110255640 7791946771
-5016145327 7991065725 -1302682273
2852844483 6955888817 4859085315
-6977541156 6858444139 -2534129010
5551884840 -1377714789 -9053517244
5504581951 -7434212938 261440976
7382105675 4519875518 2922525127
-3095238023 3188454432 8069806322
-722629779 -2903018849 8207193580
8093297325 3300927265 9410781649
-8444551780 3920944823 -4050821336
-2947987769 -1179293540 -5828053533
-344473427 -4237095527 -2229437836
-5564693936 934545594 9533600656
9115196613 7753225224 -2169552157
-689714875 -770708699 -4175364531
7940573490 -8869395520 -292851670
6361854019 -2138882362 -1326323031
-5737091275 -8762107757 -3526145629
-20604338 6753823902 1124643305
-3964654078 -3705410002 -3279255983
-1071431798 -7285028373 -3227511671
7859259343 -271957397 -6587983398
6404718685 -9998453302 429733234
-8633792688 1080834848 541333401
-2673309226 -5951823228 -4922503186
9610393099 7577776293 -119223706
9767890566 -6996115861 9908139619
-6696824299 -4748164800 -7071312548
4824394515 9886831150 7840269869
5307375147 -1699764344 -6549157447
-1228287648 1068784694 7689008052
8894493983 -7027421032 7044247843
-5600782362 -556197881 -6589846009
1712173572 5929933532 -8708311644
626568955 -5944197824 -6243834414
5704905164 8828508486 2297298363
-4234260347 -4843923036 -61433863
-2068555387 -5539750857 832334012
